FID,REPORTDATE,BLOCKADD,OFFENSE
288,2008-12-28 00:00:00,2400 Block 9th St,Vandalism
289,2010-01-19 00:00:00,1000 Block Pleasant St,Theft From Vehicle
290,2009-04-13 00:00:00,1000 Block University Ave,Burglary
291,2009-05-27 00:00:00,1100 Block Pearl St,Trespassing
292,2009-08-24 00:00:00,2700 Block 5th St,Sex Assault
293,2010-07-17 00:00:00,1700 Block 21st St,Trespassing
294,2011-07-28 00:00:00,13th St & Pearl St,Incident
295,2009-03-19 00:00:00,1100 Block Pearl St,Vandalism
296,2009-11-27 00:00:00,700 Block 20th St,Burglary
297,2009-06-30 00:00:00,4900 Block Moorhead Ave,Vandalism
298,2008-02-07 00:00:00,2500 Block Vine Pl,Theft From Vehicle
299,2009-01-20 00:00:00,600 Block S Broadway,Incident
300,2009-12-28 00:00:00,1500 Block Mapleton Ave,Burglary
301,2009-09-29 00:00:00,900 Block Miami Wy,Theft From Vehicle
302,2008-03-14 00:00:00,1400 Block Broadway,Auto Theft
303,2009-03-07 00:00:00,2900 Block Glenwood Dr,Theft From Vehicle
304,2009-11-18 00:00:00,1900 Block Arapahoe Ave,Theft From Vehicle
305,2008-08-15 00:00:00,500 Block S 40th St,Incident
306,2009-04-15 00:00:00,3100 Block Madison Ave,Vandalism
307,2011-11-12 00:00:00,700 Block Broadway,Vandalism
308,2010-04-03 00:00:00,1000 Block 12th St,Trespassing
309,2008-05-08 00:00:00,900 Block Broadway,Vandalism
310,2012-12-22 00:00:00,30th St & Glenwood Dr,Vandalism
311,2010-03-15 00:00:00,2700 Block 5th St,Trespassing
312,2008-10-28 00:00:00,1800 Block Walnut St,Burglary
313,2008-04-15 00:00:00,3200 Block 47th St,Theft From Vehicle
314,2008-06-29 00:00:00,1900 Block 11th St,Sex Assault
315,2009-10-22 00:00:00,1700 Block 30th St,Vandalism
316,2009-07-06 00:00:00,3300 Block Airport Rd,Theft From Vehicle
317,2009-12-16 00:00:00,2900 Block Baseline Rd,Trespassing
318,2009-08-14 00:00:00,1100 Block Pearl St,Assault
319,2011-02-28 00:00:00,14th St & Canyon Bv,Theft From Vehicle
320,2010-04-09 00:00:00,3000 Block Fulton Cr,Theft From Vehicle
321,2010-06-05 00:00:00,1000 Block Pleasant St,Burglary
322,2009-07-06 00:00:00,1200 Block Pearl St,Assault
323,2009-04-13 00:00:00,2300 Block Walnut St,Vandalism
324,2009-06-13 00:00:00,30th St & E Euclid Ave,Vandalism
325,2010-01-08 00:00:00,900 Block 28th St,Trespassing
326,2008-12-13 00:00:00,3100 Block Airport Rd,Trespassing
327,2009-11-29 00:00:00,1000 Block 10th St,Theft From Vehicle
328,2010-06-08 00:00:00,900 Block Marine St,Burglary
329,2008-05-27 00:00:00,900 Block E Moorhead Cr,Incident
330,2009-12-21 00:00:00,2300 Block 19th St,Vandalism
331,2008-11-13 00:00:00,600 Block S Lashley Ln,Burglary
332,2010-11-15 00:00:00,600 Block S Lashley Ln,Vandalism
333,2009-10-11 00:00:00,1300 Block Euclid Ave,Vandalism
334,2009-01-10 00:00:00,800 Block 13th St,Vandalism
335,2009-05-28 00:00:00,1000 Block Canyon Blvd,Burglary
336,2008-06-20 00:00:00,900 Block 28th St,Vandalism
337,2008-09-02 00:00:00,1800 Block Folsom St,Theft From Vehicle
338,2008-05-28 00:00:00,2400 Block 13th St,Vandalism
339,2010-04-24 00:00:00,800 Block 30th St,Sex Assault
340,2011-10-12 00:00:00,2500 Block 49th St,Trespassing
341,2008-06-11 00:00:00,2400 Block 48th St,Auto Theft
342,2008-09-04 00:00:00,1800 Block Baseline Rd,Vandalism
343,2012-06-08 00:00:00,1600 Block Arapahoe Ave,Theft From Vehicle
344,2010-05-21 00:00:00,600 Block Marine St,Burglary
345,2008-05-12 00:00:00,1800 Block 30th St,Incident
346,2010-12-29 00:00:00,5600 Block Arapahoe Ave,Assault
347,2012-01-20 00:00:00,1600 Block Poplar Av,Vandalism
348,2009-01-02 00:00:00,2300 Block 9th St,Vandalism
349,2009-03-30 00:00:00,1700 Block Pearl St,Trespassing
350,2008-08-23 00:00:00,5600 Block Arapahoe Ave,Vandalism
351,2012-01-14 00:00:00,400 Block Quail Cir,Burglary
352,2010-01-01 00:00:00,2900 Block Valmont Rd,Burglary
353,2008-04-10 00:00:00,4900 Block Twin Lakes Rd,Burglary
354,2012-11-23 00:00:00,4400 Block Broadway,Burglary
355,2008-01-11 00:00:00,1700 Block 17th St,Theft From Vehicle
356,2009-10-04 00:00:00,1100 Block Pennsylvania Ave,Vandalism
357,2008-09-12 00:00:00,800 Block Walnut St,Trespassing
358,2009-06-30 00:00:00,3600 Block Hayden Pl,Burglary
359,2009-04-14 00:00:00,700 Block Alpine Ave,Burglary
360,2009-12-22 00:00:00,2300 Block Bluff St,Vandalism
361,2008-04-29 00:00:00,1300 Block Broadway,Robbery
362,2008-09-01 00:00:00,3200 Block E Euclid Ave,Theft From Vehicle
363,2009-04-08 00:00:00,3100 Block 34th St,Theft From Vehicle
364,2010-05-25 00:00:00,900 Block 17th St,Vandalism
